City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
637,Muzhi,RU,65.3667,64.6667,58.14,71,87,14.61,overcast clouds
638,Banda Aceh,ID,5.5577,95.3222,78.46,82,100,10.49,overcast clouds
639,Itarema,BR,-2.9248,-39.9167,89.15,48,23,10.56,few clouds
640,Pascagoula,US,30.3658,-88.5561,84.25,82,1,8.05,clear sky
641,Jasper,US,37.2001,-94.3502,75.52,68,40,1.99,scattered clouds
642,Bayir,TR,37.2687,28.2167,88.63,14,0,7.61,clear sky
643,Bajah,YE,13.8141,44.6301,83.28,44,68,8.05,broken clouds
644,Gamba,GA,-2.65,10.0,79.72,71,77,9.4,broken clouds
645,Starozhilovo,RU,54.2254,39.916,81.12,33,8,5.86,clear sky
646,Krasnyy Yar,RU,46.5331,48.3456,91.33,26,86,16.73,overcast clouds
647,Nyahururu,KE,0.0421,36.3673,59.27,76,51,2.06,moderate rain
648,Namuac,PH,18.6109,121.1657,80.19,84,99,5.7,overcast clouds
649,Lumeje,AO,-11.55,20.7833,89.78,13,0,6.55,clear sky
650,Marsa Matruh,EG,31.3525,27.2453,84.22,49,0,11.59,clear sky
651,Seoul,KR,37.5683,126.9778,78.31,60,36,2.42,scattered clouds
652,Sungaipenuh,ID,-2.0833,101.3833,65.48,97,100,3.47,overcast clouds
653,Bara,NG,10.3744,10.7288,83.86,66,100,5.3,light rain
654,Revda,RU,56.801,59.9303,72.41,72,100,4.0,overcast clouds
655,Rovaniemi,FI,66.5,25.7167,62.01,77,40,4.61,scattered clouds
656,Burlington,US,39.8835,-74.6413,78.82,58,20,5.99,few clouds
657,Torres,BR,-29.3353,-49.7269,70.83,77,33,3.11,scattered clouds
658,Colac,AU,-38.3333,143.5833,51.62,85,91,15.23,overcast clouds
659,Ventspils,LV,57.3894,21.5606,66.13,72,40,23.02,scattered clouds
660,Kasongo-Lunda,CD,-6.4667,16.8167,93.07,29,64,2.91,broken clouds
661,Mantua,IT,45.1667,10.7833,101.08,49,0,4.94,clear sky
662,San Diego De Los Banos,CU,22.6467,-83.3697,82.06,78,75,11.34,moderate rain
663,Mareeba,AU,-17.0,145.4333,65.12,90,29,2.68,scattered clouds
664,Pandan,PH,14.0453,124.1694,79.52,81,100,3.94,overcast clouds
665,Komsomolskiy,UZ,40.4272,71.7189,83.12,21,13,4.61,few clouds
666,Bassano,CA,50.7834,-112.4685,68.76,40,91,0.92,overcast clouds
667,Eydhafushi,MV,5.1033,73.0708,81.99,76,89,16.58,overcast clouds
668,Vicam,MX,27.6333,-110.2833,82.9,66,40,2.37,scattered clouds
669,Meulaboh,ID,4.1363,96.1285,76.93,87,100,8.05,overcast clouds
670,Ukiah,US,39.1502,-123.2078,79.03,68,1,0.0,haze
671,Nome,US,64.5011,-165.4064,48.16,96,100,7.65,overcast clouds
672,Poindimie,NC,-20.9333,165.3333,68.81,69,97,13.89,overcast clouds
673,Fernley,US,39.608,-119.2518,79.84,24,8,1.99,clear sky
674,Nobeoka,JP,32.5833,131.6667,76.1,94,100,2.86,overcast clouds
675,Sanandaj,IR,35.3144,46.9923,93.6,9,1,2.37,clear sky
676,Vanavara,RU,60.34,102.2797,55.49,96,45,5.53,scattered clouds
677,Ginda,IN,30.6945,78.4932,65.77,85,2,2.3,clear sky
678,Palmer,US,42.1584,-72.3287,74.01,57,75,1.01,broken clouds
679,Sept-Iles,CA,50.2001,-66.3821,68.25,75,37,8.99,scattered clouds
680,Taloda,IN,21.5667,74.2167,83.41,67,100,11.9,overcast clouds
681,Shakhtinsk,KZ,49.71,72.5872,68.56,38,39,8.55,scattered clouds
682,Plettenberg Bay,ZA,-34.0527,23.3716,62.31,63,0,7.67,clear sky
683,Bairiki,KI,1.3292,172.9752,82.4,78,40,3.44,scattered clouds
684,Porosozero,RU,62.7191,32.727,59.45,87,67,12.24,light rain
685,Bagrami,AF,34.4938,69.2743,82.38,24,0,8.05,clear sky
686,Ndele,CF,8.4109,20.6473,79.47,77,95,4.0,overcast clouds
687,Pithiviers,FR,48.1667,2.25,87.69,36,63,14.76,broken clouds
688,Maniitsoq,GL,65.4167,-52.9,45.5,96,100,6.98,overcast clouds
689,Teguise,ES,29.0605,-13.564,80.82,61,0,9.22,clear sky
690,Banamba,ML,13.55,-7.45,79.81,71,98,1.97,overcast clouds
691,Roblin,CA,51.23,-101.3565,74.08,27,83,7.56,broken clouds
692,Mezen,RU,65.8522,44.24,59.77,93,100,12.24,light rain
693,Nichinan,JP,31.6,131.3667,77.5,93,100,4.5,light rain
694,Miandrivazo,MG,-19.5167,45.4667,88.25,24,0,6.58,clear sky
695,Quatre Cocos,MU,-20.2078,57.7625,68.09,63,96,16.02,overcast clouds
696,Catuday,PH,16.2923,119.8062,81.5,75,99,4.97,overcast clouds
697,Jennings,US,38.7192,-90.2604,75.9,74,20,1.01,few clouds
698,Grand Gaube,MU,-20.0064,57.6608,68.38,64,60,5.99,broken clouds
699,Luyang,CN,27.6239,110.0989,70.29,99,97,2.19,overcast clouds
700,Svetlaya,RU,46.5389,138.3297,56.23,87,48,3.22,scattered clouds
701,Petatlan,MX,17.5167,-101.2667,80.4,82,14,2.82,few clouds
702,Acapulco,MX,16.8634,-99.8901,82.22,78,40,3.44,scattered clouds
